"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"699","000F","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000E","","7","3.667","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000D","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000B","","18","3.726","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","000C","","9","3.596","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Section Total","","64","3.815","64.1","32.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","81","3.808","63.0","32.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"999
Independent Study","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"DS
359","Dept. Total","","774","3.419","37.2","29.7","21.1","5.4","4.0","1.2","0.4","0.9","0.1",".",".",".",".",".",".","."
