"L&S","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"COM ARTS
250","Dept. Total","3352","3.249","24.6","28.6","26.6","9.1","5.2","1.2","0.9","2.9","",".","0.3","",".","0.1","0.2","0.3","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","767","3.176","12.8","36.0","34.3","10.6","4.4","1.2","0.4",".","",".",".","",".",".",".","0.3","0.1","."
"Sophomore","","441","3.162","17.9","33.3","27.2","11.8","7.3","0.9","1.1","0.2","",".",".","",".",".",".","0.2",".","."
"Junior","","895","3.208","24.6","28.8","27.5","8.6","6.5","1.3","1.6","0.3","",".","0.1","",".",".",".","0.7",".","."
"Senior","","980","3.278","30.0","25.4","26.2","9.6","4.8","1.4","0.9","0.5","",".","1.0","",".",".",".","0.1",".","."
"Undergraduates","","3083","3.216","22.4","30.2","28.7","9.9","5.5","1.3","1.0","0.3","",".","0.4","",".",".",".","0.3","0.0","."
"Special","","22","3.475","31.8","40.9","9.1",".","9.1",".",".","4.5","",".",".","",".",".",".","4.5",".","."
"Graduate","","247","3.908","51.4","7.3","0.8",".","0.4",".",".","35.6","",".",".","",".","2.0","2.4",".",".","."
"","Dept. Total","3352","3.249","24.6","28.6","26.6","9.1","5.2","1.2","0.9","2.9","",".","0.3","",".","0.1","0.2","0.3","0.0","."
