"","990
082","","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
083","","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","","27","",".",".",".",".",".","",".",".","85.2",".",".",".","7.4","",".",".","7.4","."
"M&ENVTOX
362","Dept. Total","","92","3.317","18.5","1.1","12.0",".","4.3","",".","2.2","57.6",".",".",".","2.2","",".",".","2.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","2.500",".",".","50.0",".","50.0","",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","","6","2.667","33.3",".","33.3",".","16.7","",".","16.7",".",".",".",".",".","",".",".",".","."
"Senior","","","11","3.308","54.5",".","27.3",".","9.1","",".","9.1",".",".",".",".",".","",".",".",".","."
"Undergraduates","","","19","3.048","42.1",".","31.6",".","15.8","",".","10.5",".",".",".",".",".","",".",".",".","."
"Special","","","7","2.833",".","14.3","14.3",".","14.3","",".",".","57.1",".",".",".",".","",".",".",".","."
"Graduate","","","66","3.571","13.6",".","6.1",".",".","",".",".","74.2",".",".",".","3.0","",".",".","3.0","."
"","Dept. Total","","92","3.317","18.5","1.1","12.0",".","4.3","",".","2.2","57.6",".",".",".","2.2","",".",".","2.2","."
