"","999
062","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","999
065","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","999
087","2","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Advanced Independent Study","Course Total","17","3.934","76.5","11.8",".",".",".",".","",".","11.8","",".",".",".","",".","",".",".",".","."
"NURSING
692","Dept. Total","1506","3.768","57.6","23.0","5.4","0.6","0.4","0.1","",".","3.5","",".","9.3","0.1","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","3.897","87.5","2.5","10.0",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","","58","3.865","86.2","8.6","1.7",".",".","1.7","",".",".","",".","1.7",".","",".","",".",".",".","."
"Junior","","318","3.670","39.3","28.6","6.0","0.6","0.3",".","",".","0.3","",".","24.5","0.3","",".","",".",".",".","."
"Senior","","716","3.754","55.9","27.9","6.4","0.8","0.3",".","",".","0.1","",".","8.5",".","",".","",".",".",".","."
"Undergraduates","","1132","3.741","53.9","26.2","6.2","0.7","0.3","0.1","",".","0.2","",".","12.4","0.1","",".","",".",".",".","."
"Special","","34","3.874","67.6","17.6","2.9",".",".",".","",".","11.8","",".",".",".","",".","",".",".",".","."
"Graduate","","338","3.859","69.2","13.0","3.0","0.3","0.9",".","",".","13.6","",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"Professionals","","2","3.250","50.0",".","50.0",".",".",".","",".",".","",".",".",".","",".","",".",".",".","."
"","Dept. Total","1506","3.768","57.6","23.0","5.4","0.6","0.4","0.1","",".","3.5","",".","9.3","0.1","",".","",".",".",".","."
