"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","127","3.440","32.3","36.2","19.7","5.5","3.1","0.8",".","2.4",".",".",".",".",".",".",".","."
"","102","001","193","3.301","28.5","24.9","28.5","7.3","3.1","2.1","0.5","4.7",".",".",".",".",".","0.5",".","."
"","102","002","281","3.403","26.0","39.5","25.6","5.0","1.8","0.4","0.4","1.1",".",".",".",".",".","0.4",".","."
"Amer Hist-Civil War-Present","","Course Total","474","3.362","27.0","33.5","26.8","5.9","2.3","1.1","0.4","2.5",".",".",".",".",".","0.4",".","."
"Intro-E Asian History:China","103","001","78","3.289","16.7","42.3","26.9","6.4","3.8","1.3",".","1.3",".",".",".",".",".","1.3",".","."
"Invasions&Empires:Cent Asia","106","001","50","3.826","70.0","16.0","4.0",".","2.0",".",".","8.0",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","59","3.564","39.0","27.1","27.1",".",".",".",".","6.8",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115","001","69","3.058","11.6","24.6","39.1","18.8","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","187","3.437","37.4","24.1","27.3","7.0","3.7",".",".","0.5",".",".",".",".",".",".",".","."
"English History to 1688","123","001","68","3.264","17.6","41.2","22.1","13.2","2.9","1.5",".","1.5",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","59","3.272","23.7","32.2","25.4","10.2","1.7","3.4",".",".",".",".",".",".",".",".","3.4","."
"Directed Study","199","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","002","8","2.813",".","12.5","62.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","200","003","12","3.375","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","200","004","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","48","3.479","35.4","37.5","18.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","110","3.552","47.3","23.6","13.6","7.3","0.9",".","0.9","5.5",".",".",".",".",".",".","0.9","."
"Westrn Relig&Intellect Hist","208","001","41","3.079","2.4","43.9","36.6","4.9",".",".","4.9","7.3",".",".",".",".",".",".",".","."
"The American Jewish Experience","219","001","41","3.250","17.1","39.0","19.5","19.5","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221","001","38","3.342","21.1","36.8","34.2","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"","223","001","19","3.316","15.8","42.1","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","223","002","18","3.294","50.0","16.7","5.6","5.6","11.1",".","5.6","5.6",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","37","3.306","32.4","29.7","18.9","8.1","5.4",".","2.7","2.7",".",".",".",".",".",".",".","."
"Col,Natn&Minrty:PuertoRican","243","001","59","2.983","20.3","27.1","22.0","10.2","11.9","1.7","5.1",".",".",".",".",".",".",".","1.7","."
"SE Asia:Vietnam to Philipns","244","001","56","3.241","33.9","25.0","19.6","10.7","1.8",".","5.4","1.8",".",".",".",".",".",".","1.8","."
"American Business History","247","001","58","3.227","20.7","29.3","24.1","17.2","1.7","1.7",".","5.2",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","41","3.250","19.5","39.0","19.5","7.3","4.9",".","2.4","2.4",".",".",".",".",".","4.9",".","."
"Africa: Introductory Survey","277","001","60","2.754","15.0","5.0","40.0","10.0","23.3","1.7","3.3","1.7",".",".",".",".",".",".",".","."
"The Medieval Church","312","001","38","3.483","34.2","36.8","18.4","5.3","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","137","3.522","52.6","19.0","13.9","3.6","5.8",".","1.5","2.9","0.7",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","10","3.300","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Afr/Afroam Hist Rel-1700 on","330","001","10","3.300","30.0","60.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Amer Constutnl & Legal Dev","331","001","37","3.368","32.4","21.6","32.4","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"The Renaissance","333","001","70","3.265","21.4","34.3","20.0","15.7","4.3","1.4",".","2.9",".",".",".",".",".",".",".","."
"Colonial British North Amer","343","001","22","2.738","4.5","13.6","36.4","27.3","9.1",".","4.5",".",".",".",".",".",".",".","4.5","."
"Seventeenth-Century Europe","351","001","46","2.958","8.7","13.0","41.3","23.9","6.5",".",".","4.3",".",".",".",".",".",".","2.2","."
"Eighteenth Century Europe","352","001","47","2.850","10.6","25.5","25.5","17.0","6.4","2.1","6.4","4.3",".",".",".",".",".",".",".","2.1"
"Europe Betwn Wars,1919-1939","356","001","60","3.120","10.0","23.3","41.7","11.7","5.0",".",".","8.3",".",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","75","3.076","12.0","33.3","24.0","18.7","6.7","2.7",".","2.7",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","63","3.285","28.6","20.6","30.2","7.9","4.8",".","1.6","6.3",".",".",".",".",".",".",".","."
