"MED","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","699","3.073","39.9","10.0","24.0","1.4","9.9","6.2","1.7","6.4","",".","0.1","",".","",".","",".","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","69","2.370","20.3","1.4","26.1","2.9","21.7","21.7","5.8",".","",".",".","",".","",".","",".",".",".","."
"Junior","","180","2.825","28.9","8.3","31.1","1.1","16.1","11.7","2.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","","124","3.140","42.7","4.8","33.1","1.6","10.5","4.8","1.6",".","",".",".","",".","",".","",".","0.8",".","."
"Undergraduates","","373","2.838","31.9","5.9","30.8","1.6","15.3","11.3","2.9",".","",".",".","",".","",".","",".","0.3",".","."
"Special","","13","3.077","30.8","7.7","46.2","7.7",".",".","7.7",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","217","3.648","51.2","17.5","7.8","0.9","1.8",".",".","19.8","",".","0.5","",".","",".","",".",".","0.5","."
"Prof Yr 1","","91","3.389","46.2","9.9","33.0","1.1","8.8","1.1",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","4","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","96","3.393","46.9","9.4","31.3","1.0","8.3","1.0",".","2.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","699","3.073","39.9","10.0","24.0","1.4","9.9","6.2","1.7","6.4","",".","0.1","",".","",".","",".","0.1","0.1","."
