"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Linear Algebra","341","001","","15","3.400","46.7","20.0","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","375","001","","36","3.129","38.9","2.8","30.6","5.6","16.7",".","2.8","2.8",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","421","001","","18","2.639","16.7","22.2","11.1","16.7","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"","431","001","","33","2.636","30.3","9.1","24.2","3.0","6.1","18.2","9.1",".",".",".",".",".",".",".",".","."
"","431","002","","24","2.848","20.8","16.7","16.7","12.5","20.8","8.3",".",".","4.2",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","57","2.723","26.3","12.3","21.1","7.0","12.3","14.0","5.3",".","1.8",".",".",".",".",".",".","."
"Intro to Modern Algebra","441","001","","19","3.079","31.6","31.6","15.8","5.3",".","10.5","5.3",".",".",".",".",".",".",".",".","."
"Applied Linear Algebra","443","001","","9","2.944","55.6",".",".","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","29","3.536","55.2","13.8","13.8","6.9","6.9",".",".",".",".",".",".",".",".","3.4",".","."
"History of Mathematics","473","001","","9","3.250","66.7",".",".",".","11.1",".","11.1","11.1",".",".",".",".",".",".",".","."
"","475","001","","19","3.105","36.8","10.5","26.3",".","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"","475","002","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","","31","3.274","35.5","22.6","25.8",".","12.9","3.2",".",".",".",".",".",".",".",".",".","."
"Topics in Undergrad Math","491","001","","8","3.500","50.0","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","521","001","","21","3.071","42.9",".","19.0","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"","521","002","","21","2.500","14.3","19.0","9.5","19.0","9.5","19.0","4.8",".",".",".",".",".",".",".","4.8","."
"","521","003","","19","2.974","21.1","21.1","21.1","15.8","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","61","2.850","26.2","13.1","16.4","16.4","14.8","9.8","1.6",".",".",".",".",".",".",".","1.6","."
"Linear Programming Methods","525","001","","7","2.357",".","28.6",".","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","541","001","","16","3.133","50.0","6.3","12.5","6.3",".","18.8",".",".",".",".",".",".",".",".","6.3","."
"","541","002","","31","3.017","41.9","12.9","9.7","3.2","16.1","9.7","3.2","3.2",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","47","3.056","44.7","10.6","10.6","4.3","10.6","12.8","2.1","2.1",".",".",".",".",".",".","2.1","."
"Elementary Topology","551","001","","26","2.680","19.2","23.1","23.1",".","3.8","23.1","3.8",".",".",".",".",".",".","3.8",".","."
"Mathematical Logic","571","001","","14","2.857","42.9",".","21.4",".","21.4","7.1","7.1",".",".",".",".",".",".",".",".","."
"Complex Analysis","623","001","","11","3.200","18.2","36.4","27.3",".",".","9.1",".","9.1",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","15","3.167","40.0","13.3","26.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Queuing Thry & Stochas Model","633","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Applied Math 1","703","001","","16","3.469","43.8","18.8","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Finite Difference Methods","712","001","","15","3.433","40.0","20.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","15","3.600","53.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","29","3.552","58.6",".","37.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Theory of Groups","745","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Algebraic Number Theory","748","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","8","3.063","25.0","25.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
