"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"246
002
Practcm-Secondry Sch French","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"247
001
Practcm-Secondry Sch German","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"256
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"256
002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Practm:Secondry Sch Spanish","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"290
001","","13","",".",".",".",".",".",".",".",".",".","92.3",".",".",".","7.7",".","."
"290
002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Practicum-Secondary Sci Ed","","28","",".",".",".",".",".",".",".",".",".","96.4",".",".",".","3.6",".","."
"296
001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"296
002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Practm-Secondry Sch English","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"001
305","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"002
305","","24","3.833","83.3","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"305
003","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Tchg Rdg & Other Lang Arts","","64","3.922","92.2","3.1","3.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"313
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"313
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"313
003","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Lang & Lit-Secondary Curric","","69","3.978","97.1","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"322
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"322
002","","25","3.920","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"322
003","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Teachng Art","","71","3.937","93.0","2.8","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"332
001
Tchg Choral Music-Sec Schl","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"333
001
Tchg Gen Music-Elem School","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"335
001
Tchg Instrum Music-Elem","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"337
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"337
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"337
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Practicum in Teaching Music","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"340
001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"340
002","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"340
003","","26","",".",".",".",".",".",".",".",".",".","96.2",".",".",".",".",".","."
"Course Total
Elememtary Educ Practicum One","","74","",".",".",".",".",".",".",".",".",".","98.6",".",".",".",".",".","."
"354
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"354
002","","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"354
003","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Teaching Music","","73","3.973","95.9","2.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"358
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"358
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Pract: Soc Studies-Sec Schl","","31","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"361
001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"361
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Practicum in Math-Sec Schl","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 83 of 399"
