"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"100
Introduction to Forestry","001","","127","3.746","74.0","12.6","4.7","3.1","4.7",".",".",".",".",".",".",".",".","0.8",".","."
"205
Sci&Prof Comptng-Natural Rsrcs","001","","18","3.667","55.6","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"230","001","","18","3.529","44.4","27.8","5.6","16.7",".",".",".",".",".",".",".",".",".","5.6",".","."
"230","002","","18","3.417","50.0","22.2","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"Intro-Rsrce Based Recreatn","Course Total","","36","3.471","47.2","25.0","11.1","11.1",".",".","2.8",".",".",".",".",".",".","2.8",".","."
"248
Envir, Nat Resources & Society","001","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Intro-Aerial Photo Systems","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"302
Elec-op&Micro Remote Sensng","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"303
Remote Sensng Digtl Image","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"304
Remote Sensng Vis Image&GIS","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Rsrce-Oriented Recreatn Mgt","001","","22","3.409","27.3","45.5","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"402","001","","8","3.313","37.5","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"402","002","","10","2.800","30.0",".","40.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"Dendrology","Course Total","","18","3.028","33.3","11.1","22.2","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"403
Geom Anal-Vert Aerial Photo","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Tree Physiology","001","","16","3.733","68.8",".","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"460
General Ecology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Forest Ecology","001","","55","3.267","49.1","10.9","16.4","1.8","18.2","1.8","1.8",".",".",".",".",".",".",".",".","."
"571","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","21","3.548","28.6","52.4","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"590
Integrated Resource Mgmt","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"790
Special Problems","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum in Forestry Tchg","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloq-Forestry&Forest Prod","001","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
