"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"MUS PERF
664","Dept. Total","560","3.866","78.8","13.8","5.0","0.7","",".","",".","0.4","0.4","",".",".","",".","",".","0.9",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.809","72.5","18.8","8.8",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","88","3.699","68.2","20.5","8.0","1.1","",".","",".","2.3",".","",".",".","",".","",".",".",".",".","."
"Junior","","98","3.814","71.4","18.4","7.1","2.0","",".","",".",".","1.0","",".",".","",".","",".",".",".",".","."
"Senior","","109","3.896","83.5","11.0","5.5",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","375","3.812","74.4","16.8","7.2","0.8","",".","",".","0.5","0.3","",".",".","",".","",".",".",".",".","."
"Special","","4","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","181","3.944","87.3","7.7","0.6","0.6","",".","",".",".","0.6","",".",".","",".","",".","2.8",".","0.6","."
"","Dept. Total","560","3.866","78.8","13.8","5.0","0.7","",".","",".","0.4","0.4","",".",".","",".","",".","0.9",".","0.2","."
