"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"BUS","College Total","9169","3.299","33.2","22.5","26.6","7.1","6.0","1.3","0.6","1.0","0.0","1.5","0.0","0.0","0.0","0.0","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"BUS","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","9","1.000",".",".",".",".",".","11.1",".",".",".","88.9",".",".",".",".",".","."
"Sophomore","","516","2.900","21.3","8.3","40.7","6.8","15.5","4.1","2.3",".",".","1.0",".",".",".",".",".","."
"Junior","","2507","3.183","28.6","19.1","32.0","9.8","7.5","1.9","0.8","0.2",".",".","0.0",".",".","0.0",".","."
"Senior","","3784","3.254","29.5","23.4","28.3","8.8","6.7","1.3","0.6","1.0","0.1","0.2",".",".","0.0","0.0","0.0","."
"Undergraduates","","6816","3.201","28.5","20.7","30.6","9.0","7.6","1.7","0.8","0.6","0.0","0.3","0.0",".","0.0","0.0","0.0","."
"Special","","312","3.404","38.5","24.4","21.8","4.8","7.7",".","0.3","2.2",".",".",".",".",".","0.3",".","."
"Graduate","","2022","3.653","47.8","28.5","14.2","0.9","0.3","0.0","0.1","2.3",".","5.5",".","0.0","0.1",".",".","."
"Prof Yr 1","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","3","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","11","3.400","27.3","18.2","45.5",".",".",".",".",".",".","9.1",".",".",".",".",".","."
"Professionals","","19","3.611","47.4","21.1","26.3",".",".",".",".",".",".","5.3",".",".",".",".",".","."
"","College Total","9169","3.299","33.2","22.5","26.6","7.1","6.0","1.3","0.6","1.0","0.0","1.5","0.0","0.0","0.0","0.0","0.0","."
