"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATIVE DISORDERS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"COM DIS
252","Dept. Total","1107","3.517","54.6","19.0","13.2","5.1","3.2","1.3","0.8","2.7","",".",".","",".","",".","0.1",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","81","3.375","39.5","18.5","32.1","1.2","4.9","1.2","1.2",".","",".",".","",".","",".",".",".",".","1.2"
"Sophomore","","164","3.197","36.6","18.3","19.5","12.2","7.9","1.8","3.0","0.6","",".",".","",".","",".",".",".",".","."
"Junior","","247","3.339","40.9","22.3","18.2","9.7","6.1","2.4","0.4",".","",".",".","",".","",".",".",".",".","."
"Senior","","201","3.531","54.7","20.4","13.9","4.5","1.0","2.0","1.0","2.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","","693","3.358","43.7","20.3","18.9","7.8","4.9","2.0","1.3","0.9","",".",".","",".","",".",".",".",".","0.1"
"Special","","42","3.726","64.3","23.8","7.1","2.4","2.4",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","369","3.865","74.3","16.0","3.3","0.5",".",".",".","5.7","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 2","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1107","3.517","54.6","19.0","13.2","5.1","3.2","1.3","0.8","2.7","",".",".","",".","",".","0.1",".",".","0.1"
