"Seminar-Pentateuchal Criticism","953
001","5","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"HEBR ST
440","Dept. Total","299","3.496","44.5","23.7","17.7","7.0","0.7","1.0","0.7","3.7",".",".",".","",".","0.3","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","71","3.464","42.3","22.5","23.9","9.9","1.4",".",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","62","3.539","43.5","32.3","19.4","1.6",".",".","1.6",".",".",".",".","",".",".","1.6",".","."
"Junior","","49","3.517","46.9","22.4","16.3","8.2",".","2.0",".",".",".",".",".","",".","2.0","2.0",".","."
"Senior","","73","3.545","54.8","20.5","13.7","6.8","1.4",".","1.4","1.4",".",".",".","",".",".",".",".","."
"Undergraduates","","255","3.515","47.1","24.3","18.4","6.7","0.8","0.4","0.8","0.4",".",".",".","",".","0.4","0.8",".","."
"Special","","12","3.115","16.7","16.7","16.7","16.7",".",".",".","33.3",".",".",".","",".",".",".",".","."
"Graduate","","32","3.390","34.4","21.9","12.5","6.3",".","6.3",".","18.8",".",".",".","",".",".",".",".","."
"","Dept. Total","299","3.496","44.5","23.7","17.7","7.0","0.7","1.0","0.7","3.7",".",".",".","",".","0.3","0.7",".","."
