"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4103","2.957","31.5","12.4","17.8","10.5","18.7","5.0","1.1","2.4","0.1",".","0.0","",".","0.2","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","857","2.659","15.5","13.8","17.3","16.9","25.6","8.3","2.2","0.1","0.1",".",".","",".",".","0.2",".","."
"Sophomore","","819","2.792","19.9","13.7","20.8","14.3","24.7","5.3","1.3","0.1",".",".",".","",".",".",".",".","."
"Junior","","973","2.887","29.5","9.6","21.6","11.0","20.9","5.9","1.1","0.3","0.1",".",".","",".",".",".","0.1","."
"Senior","","1118","3.268","45.9","15.4","16.6","5.2","12.3","3.0","0.4","0.6","0.1",".","0.1","",".",".","0.1","0.2","0.1"
"Undergraduates","","3767","2.924","29.1","13.1","19.0","11.3","20.2","5.4","1.2","0.3","0.1",".","0.0","",".",".","0.1","0.1","0.0"
"Special","","39","2.994","28.2","10.3","12.8","10.3","12.8","2.6",".","20.5",".",".",".","",".",".","2.6",".","."
"Graduate","","293","3.864","62.1","3.8","4.1","0.3","0.3",".",".","26.3","0.3",".",".","",".","2.4",".","0.3","."
"Prof Yr 1","","3","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","4103","2.957","31.5","12.4","17.8","10.5","18.7","5.0","1.1","2.4","0.1",".","0.0","",".","0.2","0.1","0.1","0.0"
