"","ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","411","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","","Course Total","","31","3.000","3.2","32.3","38.7","12.9","6.5","3.2",".",".",".",".",".",".","3.2",".",".","."
"Digital Control","417","001","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420","001","","49","2.878","18.4","10.2","38.8","14.3","10.2","6.1","2.0",".",".",".",".",".",".",".",".","."
"Electric Power Systems","427","001","","22","3.114","27.3","13.6","27.3","18.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","55","3.091","23.6","18.2","25.5","18.2","14.5",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems I","436","001","","44","3.705","63.6","22.7","6.8","4.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"Communication Systems Lab I","438","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"E&M Fields and Waves","440","001","","16","3.400","37.5","31.3","6.3","6.3","12.5",".",".",".",".",".",".",".","6.3",".",".","."
"Applied Communications Sys","447","001","","21","3.452","38.1","33.3","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","20","3.375","20.0","50.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","15","3.267","20.0","46.7","13.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","489","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Synchronous Machines","511","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Image Processing","533","001","","20","3.375","40.0","10.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Optics&Optoelect","536","001","","12","3.542","50.0","25.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539","002","","6","3.400","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","16.7","."
"Integrated Circuit Design","548","001","","10","3.667","40.0","40.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Digital Sys Design & Synthesis","551","001","","50","3.120","34.0","20.0","18.0","12.0","10.0","2.0","4.0",".",".",".",".",".",".",".",".","."
"","552","001","","11","3.182","27.3","27.3","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","552","002","","25","3.260","36.0","24.0","20.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","36","3.236","33.3","25.0","16.7","16.7","2.8","5.6",".",".",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","","37","3.222","27.0","27.0","21.6","10.8","8.1","2.7",".","2.7",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","24","3.479","33.3","33.3","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","19","3.316","31.6","26.3","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","601","001","","8","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","601","002","","51","3.392","35.3","31.4","27.5",".","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","","Course Total","","59","3.431","37.3","30.5","25.4",".","1.7","1.7","1.7",".",".",".",".",".",".",".","1.7","."
"Spec Topics-Elec&Comptr Eng","602","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 115 of 399",""
