"","775
003","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
017","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
020","5","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","14","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"PATH-BIO
703","Dept. Total","571","3.345","26.1","25.9","29.9","7.2","1.8","0.2","",".","8.9",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","3.500",".","100.0",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","2","3.800","50.0","50.0",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","3","3.500","33.3",".","33.3",".",".",".","",".","33.3",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","572","3.327","21.2","25.7","29.7","7.2","1.7","0.2","",".","14.3",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","66","4.000","39.4",".",".",".",".",".","",".","60.6",".",".",".","",".","",".",".",".","."
"Professionals","","638","3.343","23.0","23.0","26.6","6.4","1.6","0.2","",".","19.1",".",".",".","",".","",".",".",".","."
"","Dept. Total","643","3.345","23.2","23.0","26.6","6.4","1.6","0.2","",".","19.1",".",".",".","",".","",".",".",".","."
