"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","328","3.457","36.9","32.9","22.0","2.7","3.0","0.9","1.2","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","17","3.794","82.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","3.625","87.5",".",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","002
150","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","19","3.684","84.2",".","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","005
150","18","3.722","83.3","5.6",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","006
150","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","18","3.722","83.3",".","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","150
008","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
150","19","3.789","84.2",".","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","158","3.816","88.0","3.2","3.2","1.9","1.3","1.9","0.6",".",".",".",".",".",".",".",".","."
"","161
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","34","3.838","76.5","14.7","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","162
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Costumes Technol","163
001","8","3.440","50.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","15","3.372","20.0","40.0","26.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","219
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
219","17","3.406","35.3","17.6","29.4","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"","003
219","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","43","3.732","65.1","14.0","11.6","4.7",".",".",".","2.3",".",".",".",".",".","2.3",".","."
"Wrld Theatre & Drama to 18c","221
001","76","2.753","7.9","22.4","28.9","15.8","14.5","6.6","2.6",".",".",".",".",".",".","1.3",".","."
"History of Theatre","231
001","30","3.448","36.7","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","3.3"
"Intermediate Voice Training","240
001","18","3.333","33.3","27.8","22.2","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","250
001","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","33","3.727","51.5","42.4","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intro-Africn-Amer Performnc","329
001","17","3.000","5.9","41.2","11.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","16","3.682","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
