"","990
044","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
046","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research and Thesis","Course Total","13","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"Individual Research","999
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"LCA
521","Dept. Total","392","3.535","47.2","25.0","13.5","4.6","1.3","0.8","1.3","4.6",".",".",".","",".","0.3","0.8","0.3","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","55","3.322","43.6","27.3","14.5","3.6","3.6","1.8","5.5",".",".",".",".","",".",".",".",".","."
"Sophomore","","94","3.430","39.4","29.8","19.1","8.5",".","2.1","1.1",".",".",".",".","",".",".",".",".","."
"Junior","","61","3.430","36.1","27.9","24.6","4.9","1.6",".","1.6",".",".",".",".","",".",".","1.6",".","1.6"
"Senior","","92","3.548","37.0","35.9","12.0","4.3","2.2",".",".","5.4",".",".",".","",".",".","2.2",".","1.1"
"Undergraduates","","302","3.445","38.7","30.8","17.2","5.6","1.7","1.0","1.7","1.7",".",".",".","",".",".","1.0",".","0.7"
"Special","","12","3.625","50.0","25.0","8.3","8.3",".",".",".",".",".",".",".","",".",".",".","8.3","."
"Graduate","","78","3.983","79.5","2.6",".",".",".",".",".","16.7",".",".",".","",".","1.3",".",".","."
"","Dept. Total","392","3.535","47.2","25.0","13.5","4.6","1.3","0.8","1.3","4.6",".",".",".","",".","0.3","0.8","0.3","0.5"
