"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"","375
003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
004","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar","Course Total","","39","3.940","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Physical Educ","378
001","","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"School Services-Com Dis","392
001","","45","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394
001","","14","3.615","42.9","35.7","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Independent Study","399
072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","72","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","Course Total","","48","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Lit for Schools","431
001","","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
004","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","72","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Sec Schl French","446
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl German","447
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in Latin","455
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl Spanish","456
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","70","3.897","90.0","4.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","","53","",".",".",".",".",".",".",".",".",".","98.1","1.9",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
