"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Watercolor I","242
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","244
001","","14","3.500","35.7","28.6","14.3",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"","002
244","","15","3.100","26.7","26.7","26.7","6.7",".","13.3",".",".",".",".",".",".",".",".",".","."
"","244
003","","15","3.200","20.0","33.3","33.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","44","3.250","27.3","29.5","25.0","4.5","2.3","6.8",".","4.5",".",".",".",".",".",".",".","."
"","246
001","","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
246","","17","3.471","35.3","35.3","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","34","3.559","32.4","52.9","11.8",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","14","3.679","78.6","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","30","3.717","63.3","30.0","3.3",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","001
306","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","8","3.188","25.0",".","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","23","3.522","47.8","17.4","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","001
314","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","11","3.455","18.2","63.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Nonstatic Forms","318
001","","12","3.542","41.7","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","10","2.700","20.0",".","20.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".","."
"","002
322","","7","3.357","42.9",".","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","28","3.321","46.4","10.7","17.9","10.7","14.3",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","9","3.389","44.4","33.3",".",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"","328
001","","11","3.364","54.5","18.2","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","002
328","","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","24","3.604","66.7","12.5","12.5",".","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"","332
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","12","3.250","33.3","25.0","8.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal II","344
001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","28","3.732","60.7","28.6","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","15","3.330","6.7","53.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","7","3.714","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","18","3.583","55.6","11.1","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 72 of 399"
