"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","3.923","85.7",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","105
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","34","3.970","94.1",".","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","110
001","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3",".","."
"","115
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
115","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
115","23","3.804","78.3","13.0",".","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
015","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
025","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
026","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
027","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
030","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","122","3.906","90.2","7.4",".","1.6",".",".","0.8",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","620
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","107","3.388","27.1","41.1","20.6","8.4","0.9","1.9",".",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Theories of Counseling","800
001","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","26","3.596","38.5","42.3","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","29","3.862","75.9","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","8","3.934","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","24","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Consultation Proc-Counselor","850
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
001","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".",".","."
"","900
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","18","",".",".",".",".",".",".",".",".",".","94.4",".",".",".",".",".","."
"","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","901
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
