"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","44","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","18","3.389","27.8","38.9","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","46","3.916","87.0","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","30","3.267","20.0","33.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","43","3.570","30.2","53.5","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","22","3.568","40.9","50.0","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","43","3.221","34.9","14.0","30.2","7.0","11.6","2.3",".",".",".",".",".",".",".",".",".","."
"","323","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","23","3.891","87.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","73","3.938","90.4","6.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Elem School Phy Ed","335","001","","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","","57","3.237","40.4","19.3","15.8","10.5","7.0","7.0",".",".",".",".",".",".",".",".",".","."
"Phys Agnts-Treat Athl Injry","357","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","42","3.607","61.9","11.9","16.7","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","6","2.667","33.3",".","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","6","3.500","66.7",".","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","42","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiores Adapt-Envr&Exer","773","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Occupation & Health","885","001","","6","",".",".",".",".",".",".",".","16.7",".","83.3",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 100 of 399",""
