"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","1.000",".",".",".",".",".","100.0",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","13","2.905","23.1","15.4","38.5","7.7","7.7",".","7.7",".","",".",".","",".",".","",".",".",".","."
"Junior","","39","2.910","25.6","17.9","30.8","10.3","5.1","2.6","7.7",".","",".",".","",".",".","",".",".",".","."
"Senior","","76","3.187","38.2","25.0","11.8","10.5","6.6","2.6","3.9",".","",".",".","",".",".","",".","1.3",".","."
"Undergraduates","","129","3.047","32.6","21.7","20.2","10.1","6.2","3.1","5.4",".","",".",".","",".",".","",".","0.8",".","."
"Special","","8","3.733","50.0","12.5",".",".","12.5",".",".","12.5","",".",".","",".",".","",".",".","12.5","."
"Graduate","","131","3.770","38.9","19.1","4.6",".",".",".",".","32.1","",".",".","",".","5.3","",".",".",".","."
"","Dept. Total","268","3.318","36.2","20.1","11.9","4.9","3.4","1.5","2.6","16.0","",".",".","",".","2.6","",".","0.4","0.4","."
