"TERM : 1052","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2004-2005","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","551","3.817","67.3","24.9","2.5","0.9","0.2","",".","0.2","1.8","",".",".","",".","",".","1.5",".",".","0.7"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","3.125","25.0",".","50.0","25.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","8","3.250","37.5","50.0",".",".",".","",".","12.5",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","12","3.208","33.3","33.3","16.7","8.3",".","",".","8.3",".","",".",".","",".","",".",".",".",".","."
"Special","33","3.680","57.6","24.2","6.1","3.0","3.0","",".",".","6.1","",".",".","",".","",".",".",".",".","."
"Graduate","506","3.840","68.8","24.7","2.0","0.6",".","",".",".","1.6","",".",".","",".","",".","1.6",".",".","0.8"
"Dept. Total","551","3.817","67.3","24.9","2.5","0.9","0.2","",".","0.2","1.8","",".",".","",".","",".","1.5",".",".","0.7"
