"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"Advanced Financial Reporting","Course Total","40","3.275","32.5",".","62.5",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","603
001","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","31","3.643","35.5","45.2","9.7",".",".",".",".","9.7",".",".",".",".",".",".",".","."
"","603
003","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
603","33","3.394","30.3","18.2","51.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","97","3.527","34.0","34.0","28.9",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"","620
001","25","3.120","12.0","36.0","28.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","620
002","31","3.258","22.6","32.3","19.4","25.8",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","56","3.196","17.9","33.9","23.2","19.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"","621
001","23","3.239","21.7","13.0","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","27","3.185","29.6","7.4","48.1",".","14.8",".",".",".",".",".",".",".",".",".",".","."
"","621
003","17","3.265","29.4","17.6","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","67","3.224","26.9","11.9","49.3","3.0","9.0",".",".",".",".",".",".",".",".",".",".","."
"","001
630","37","3.243","18.9","35.1","32.4","8.1","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","630
002","44","3.386","34.1","22.7","31.8","9.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"","630
003","41","3.500","41.5","26.8","22.0","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","122","3.381","32.0","27.9","28.7","9.0","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"","631
001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
002","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","Course Total","36","3.847","75.0","19.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
700","36","3.375","22.2","30.6","47.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","41","3.463","31.7","31.7","34.1","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","35","3.529","34.3","37.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
700","34","3.559","38.2","35.3","26.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","146","3.479","31.5","33.6","34.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","4","***","","","","","","","","","","","","","","","",""
"","001
706","12","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","20","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","32","3.438","43.8",".","56.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
002","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","30","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","20","3.625","45.0","40.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","799
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","136
799","9","3.971","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","11","3.974","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","971
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","971
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Accounting Research","Course Total","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 52 of 399"
