"FAM & CONSUMER COMMUNICA Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","100","004","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","005","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","","Course Total","","23","3.565","34.8","43.5","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340","001","","8","3.500","75.0",".",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Web Design for the Sciences","532","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","601","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","","Dept. Total","","49","3.508","36.7","28.6","18.4","2.0","4.1",".",".","4.1",".","6.1",".",".",".",".",".","."
