"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3888","3.274","30.5","25.2","21.0","8.7","5.8","1.5","1.1","5.2","",".","0.7","",".","0.1","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","566","3.012","18.0","25.3","28.1","14.0","8.5","3.9","1.8","0.2","",".",".","",".",".","0.2","0.2",".","."
"Sophomore","","909","3.243","26.6","29.7","24.6","10.0","6.4","0.7","1.3","0.4","",".","0.1","",".",".","0.1",".",".","."
"Junior","","865","3.301","33.4","27.2","21.7","9.4","5.3","1.4","1.3","0.1","",".",".","",".",".",".","0.2",".","."
"Senior","","1028","3.303","33.2","25.0","21.3","8.2","6.7","1.8","0.6","2.4","",".","0.3","",".","0.1","0.2","0.1","0.2","."
"Undergraduates","","3368","3.236","28.9","26.9","23.5","9.9","6.6","1.7","1.2","0.9","",".","0.1","",".","0.0","0.1","0.1","0.1","."
"Special","","21","3.048","23.8","23.8","23.8","4.8","9.5",".","4.8","9.5","",".",".","",".",".",".",".",".","."
"Graduate","","498","3.786","41.2","13.7","4.0","0.4","0.2",".","0.2","33.5","",".","4.6","",".","0.8","1.0",".","0.4","."
"Prof Yr 3","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","Dept. Total","3888","3.274","30.5","25.2","21.0","8.7","5.8","1.5","1.1","5.2","",".","0.7","",".","0.1","0.2","0.1","0.1","."
