"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106","001","44","2.605","13.6","6.8","18.2","25.0","27.3","4.5","2.3","2.3",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113","001","224","3.273","23.2","36.2","24.1","9.8","3.1","1.8","0.9","0.4","0.4",".",".",".",".",".",".","."
"","120","001","33","3.015","21.2","9.1","27.3","36.4","6.1",".",".",".",".",".",".",".",".",".",".","."
"","120","002","46","3.054","26.1","8.7","32.6","15.2","17.4",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","79","3.038","24.1","8.9","30.4","24.1","12.7",".",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","63","2.852","22.2","4.8","25.4","23.8","15.9","3.2","1.6","3.2",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","39","3.821","74.4","17.9","5.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","127","001","7","3.000","28.6","14.3","14.3","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"","127","002","18","3.000","22.2","11.1","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","25","3.000","24.0","12.0","20.0","28.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","7","3.588","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Soil: Ecosystem & Resource","230","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","15","3.679","60.0","13.3","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","19","3.579","42.1","52.6",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315","001","30","2.800","16.7","3.3","40.0","3.3","36.7",".",".",".",".",".",".",".",".",".",".","."
"Soils and Envrnmtl Quality","324","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339","001","56","2.944","12.5","19.6","35.7","12.5","12.5","1.8","1.8","1.8",".",".",".",".",".","1.8",".","."
"","339","002","27","3.167","22.2","18.5","40.7","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","83","3.019","15.7","19.3","37.3","10.8","12.0","1.2","1.2","1.2",".",".",".",".",".","1.2",".","."
"Environmental Economics","343","001","25","3.411","20.0","52.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","30","3.550","43.3","33.3","16.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375","001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","7","3.214",".","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","10","3.500","40.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","003","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","005","18","3.694","72.2","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","400","006","13","3.385","15.4","61.5","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","70","3.659","60.0","22.9","11.4","4.3","1.4",".",".",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411","001","24","3.500","37.5","20.8","29.2","4.2",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"People, Wildlife & Landscapes","434","001","11","3.500","36.4","18.2","36.4",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","16","3.233","25.0","25.0","25.0","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","51","3.500","27.5","43.1","21.6",".","2.0",".",".","5.9",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","32","3.629","40.6","40.6","15.6",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Bioclimatology","520","001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 149 of 399",""
