"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","167","3.003","10.8","24.6","34.7","20.4","4.2","2.4","1.2","1.8",".",".",".",".",".",".",".","."
"","120","001","154","2.870","19.5","13.0","29.2","18.2","11.7","7.1","1.3",".",".",".",".",".",".",".",".","."
"","120","002","143","2.965","16.1","21.0","24.5","16.8","20.3","0.7",".","0.7",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","297","2.916","17.8","16.8","26.9","17.5","15.8","4.0","0.7","0.3",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","65","2.929","16.9","15.4","23.1","20.0","21.5",".",".","3.1",".",".",".",".",".",".",".","."
"","127","001","25","2.840","12.0","24.0","32.0","8.0","12.0","12.0",".",".",".",".",".",".",".",".",".","."
"","127","002","34","2.882","26.5","8.8","20.6","14.7","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","59","2.864","20.3","15.3","25.4","11.9","18.6","8.5",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","14","3.179","42.9","21.4","21.4",".",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","18","2.920","27.8","11.1","27.8","5.6","11.1","16.7",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","7","2.714","28.6","14.3","14.3","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","14","3.500","28.6","42.9","14.3","7.1",".",".",".",".",".",".",".",".","7.1",".",".","."
"Africa: Introductory Survey","277","001","21","3.184","19.0","14.3","42.9","9.5","4.8",".",".",".",".",".",".",".",".","9.5",".","."
"Population-Migrat&Diffusion","300","001","29","3.607","48.3","27.6","17.2",".","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","46","3.310","28.3","26.1","21.7","4.3","10.9",".",".","8.7",".",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","20","3.158","30.0","5.0","35.0","15.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"Geomorphology","320","001","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climatic Environments-Past","331","001","9","3.563","55.6","11.1",".","22.2",".",".",".",".",".",".",".",".",".","11.1",".","."
"","339","001","34","2.721","8.8","11.8","32.4","14.7","29.4","2.9",".",".",".",".",".",".",".",".",".","."
"","339","002","27","3.093","3.7","40.7","37.0","7.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","61","2.885","6.6","24.6","34.4","11.5","21.3","1.6",".",".",".",".",".",".",".",".",".","."
"Europe","349","001","96","3.326","29.2","29.2","27.1","4.2","9.4",".",".","1.0",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","37","2.892","16.2","18.9","29.7","18.9","10.8",".","5.4",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","51","3.235","39.2","19.6","19.6","7.8","7.8","3.9","2.0",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","43","3.131","27.9","32.6","11.6","7.0","11.6","4.7","2.3","2.3",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460","001","18","3.361","27.8","33.3","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Ldscap&Settlmt-N Amer Past","508","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environment & Human Experience","519","001","11","3.500","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","22","3.205","31.8","18.2","27.3","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","18","3.694","66.7","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","565","001","22","3.619","54.5","22.7","9.1","4.5","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Graphic Design-Cartography","572","001","21","3.367","47.6","14.3","23.8","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","11","3.682","63.6","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","18","3.500","38.9","27.8","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","602","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
