"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","104","2.848","22.1","19.2","14.4","20.2","12.5","4.8","4.8","1.9",".",".",".",".",".",".",".","."
"","100","002","110","2.991","22.7","22.7","20.9","17.3","7.3","5.5","2.7",".",".",".",".",".",".",".","0.9","."
"General Geology","","Course Total","214","2.922","22.4","21.0","17.8","18.7","9.8","5.1","3.7","0.9",".",".",".",".",".",".","0.5","."
"General Geology","101","001","31","2.867","12.9","32.3","16.1","12.9","12.9","6.5","3.2","3.2",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","26","2.848","15.4","7.7","38.5","3.8","19.2",".","3.8","7.7",".",".",".",".",".",".","3.8","."
"Environmental Geology","106","001","71","2.643","12.7","8.5","31.0","14.1","25.4","1.4","5.6","1.4",".",".",".",".",".",".",".","."
"Life of the Past","107","001","51","3.069","19.6","25.5","19.6","19.6","15.7",".",".",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","146","2.872","26.0","11.6","19.2","9.6","26.0","4.8","1.4",".",".",".",".",".",".",".","0.7","0.7"
"Directed Study","198","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geologic Structures","202","001","37","2.892","16.2","13.5","29.7","24.3","10.8","5.4",".",".",".",".",".",".",".",".",".","."
"Physics&Chem-Earth's Interior","302","001","13","2.654","15.4","15.4","23.1","7.7","30.8",".","7.7",".",".",".",".",".",".",".",".","."
"Fluids & Sedimentary Processes","303","001","22","3.500","40.9","31.8","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Geomorphology","320","001","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","394","3.172","23.9","25.9","21.8","11.9","7.6","5.1",".","2.8",".",".",".",".",".",".","1.0","."
"The Age of Dinosaurs","333","001","346","2.733","13.9","12.1","24.3","17.9","20.5","4.0","2.6","4.6",".",".",".",".",".",".",".","."
"","376","001","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","376","002","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","19","3.556","36.8","36.8","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Energy Resources","411","001","23","3.452","43.5","13.0","30.4",".",".","4.3",".","4.3",".",".",".",".",".","4.3",".","."
"Principles-Econ Geology","515","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monsters & Science: A History","517","001","43","3.363","39.5","16.3","18.6","9.3","9.3",".",".","7.0",".",".",".",".",".",".",".","."
"Paleobiology","541","001","20","3.425","35.0","35.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","11","3.091","27.3","27.3","18.2","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","25","3.042","16.0","20.0","36.0","4.0","20.0",".",".","4.0",".",".",".",".",".",".",".","."
"","691","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","008","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","698","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Quaternary Pollen Anal II","723","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 213 of 399",""
