"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Bacteriology","001","","54","3.241","31.5","13.0","40.7","5.6","7.4","1.9",".",".",".",".",".",".",".",".",".","."
"302","001","","29","3.397","20.7","44.8","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"302","002","","28","3.214","25.0","25.0","35.7","10.7",".",".","3.6",".",".",".",".",".",".",".",".","."
"Medical Microbiology Lab","Course Total","","57","3.307","22.8","35.1","31.6","8.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","94","3.165","37.2","7.4","24.5","17.0","12.8",".","1.1",".",".",".",".",".",".",".",".","."
"504
Infect Disease-Human Beings","001","","49","3.224","20.4","14.3","57.1","6.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","48","3.181","43.8","4.2","22.9","2.1","22.9","2.1",".","2.1",".",".",".",".",".",".",".","."
"554
Infect Diseases & Bioterrorism","001","","25","3.083","16.0","24.0","32.0","8.0","16.0",".",".","4.0",".",".",".",".",".",".",".","."
"677","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Medicl Microbiol","Course Total","","4","***","","","","","","","","","","","","","","","",""
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"696
Critical Thinking in Microbiol","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Infection and Immunity I","001","","146","3.490","37.0","30.8","26.7","4.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"720
Topics in Immunology","001","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Mech Microbial Pathogenesis","001","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar","001","","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","019","","18","",".",".",".",".",".",".",".","38.9",".",".",".","61.1",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 340 of 399",""
