"","990
013","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
015","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"Thesis-Research","Course Total","21","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"CBE
220","Dept. Total","816","3.062","28.4","14.8","20.2","8.7","10.8","3.7","1.2","11.3","0.1","0.4",".","",".","0.1","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","0.000",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".",".","."
"Sophomore","","30","2.619","10.0","10.0","26.7","20.0","26.7","6.7",".",".",".",".",".","",".",".",".",".","."
"Junior","","116","2.792","16.4","20.7","19.8","13.8","19.8","9.5",".",".",".",".",".","",".",".",".",".","."
"Senior","","428","2.991","29.9","14.7","25.7","11.0","13.1","3.7","1.9",".",".",".",".","",".",".",".",".","."
"Undergraduates","","576","2.917","26.0","15.6","24.5","12.0","15.1","5.0","1.7",".",".",".",".","",".",".",".",".","."
"Special","","10","3.250","40.0","10.0","10.0","10.0",".","10.0",".",".","10.0",".",".","",".","10.0",".",".","."
"Graduate","","256","3.673","40.6","11.7","9.0","0.4","0.4",".",".","35.9",".","1.2",".","",".",".","0.4",".","0.4"
"","Dept. Total","842","3.062","30.6","14.4","19.6","8.4","10.5","3.6","1.2","10.9","0.1","0.4",".","",".","0.1","0.1",".","0.1"
