"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Microelectronic Devices","335
001","","66","2.977","13.6","10.6","48.5","18.2","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","","51","3.290","37.3","17.6","17.6","15.7","9.8",".",".",".",".",".",".",".","2.0",".",".","."
"Electronic Circuits II","342
001","","65","3.054","18.5","24.6","38.5","7.7","4.6","1.5","4.6",".",".",".",".",".",".",".",".","."
"","350
002","","20","3.250","10.0","40.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
350","","22","3.500","40.9","45.5","9.1",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"","004
350","","22","3.568","40.9","45.5","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","","64","3.445","31.3","43.8","18.8","1.6","3.1",".","1.6",".",".",".",".",".",".",".",".","."
"","001
351","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
351","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
003","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","","13","3.577","46.2","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","","65","3.815","72.3","21.5","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","001
352","","37","2.730","18.9","18.9","24.3","13.5","8.1","8.1","8.1",".",".",".",".",".",".",".",".","."
"","352
002","","25","2.120","8.0",".","20.0","24.0","20.0","20.0","8.0",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","62","2.484","14.5","11.3","22.6","17.7","12.9","12.9","8.1",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","001
353","","24","3.042","20.8","16.7","37.5","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","","10","3.000","20.0",".","50.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","355
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","370
001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
370","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
370","","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","005
370","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","57","3.798","80.7","8.8","8.8",".",".",".","1.8",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","126","3.230","31.0","17.5","31.7","6.3","13.5",".",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","","74","2.993","16.2","13.5","40.5","17.6","9.5","2.7",".",".",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","379
001","","28","2.982","21.4","21.4","14.3","25.0","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","039
399","","18","3.674","38.9","55.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399
060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","3.772","58.6","37.9",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Feedback Control Lab","409
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
001","","20","3.050","5.0","45.0","30.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","411
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","411
003","","8","2.929",".",".","75.0","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 114 of 399",""
