"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Directed Study","198
201","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","28","3.768","60.7","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","25","3.780","56.0","44.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","26","3.712","42.3","57.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","28","3.625","32.1","60.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","27","3.685","37.0","63.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","27","3.611","40.7","44.4","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","26","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","27","3.685","40.7","55.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","29","3.638","27.6","72.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","298","3.755","54.4","42.6","2.7","0.3",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","204","2.921","20.1","14.2","30.4","8.3","23.0","2.5","1.0","0.5",".",".",".",".",".",".",".","."
"","301
002","136","3.159","22.8","18.4","36.8","11.8","8.8","0.7",".","0.7",".",".",".",".",".",".",".","."
"Business Law","Course Total","340","3.016","21.2","15.9","32.9","9.7","17.4","1.8","0.6","0.6",".",".",".",".",".",".",".","."
"","302
001","43","3.407","39.5","16.3","30.2","14.0",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","43","3.179","18.6","25.6","30.2","18.6","4.7",".",".","2.3",".",".",".",".",".",".",".","."
"Bus Orgs&Negotiable Instrumnts","Course Total","86","3.294","29.1","20.9","30.2","16.3","2.3",".",".","1.2",".",".",".",".",".",".",".","."
"","001
303","78","3.109","25.6","16.7","38.5","5.1","10.3","1.3","2.6",".",".",".",".",".",".",".",".","."
"","303
002","105","3.190","26.7","13.3","46.7","1.9","9.5","1.9",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","183","3.156","26.2","14.8","43.2","3.3","9.8","1.6","1.1",".",".",".",".",".",".",".",".","."
"","304
001","55","3.555","54.5","20.0","21.8",".",".","1.8","1.8",".",".",".",".",".",".",".",".","."
"","304
002","31","3.677","58.1","19.4","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","86","3.599","55.8","19.8","22.1",".",".","1.2","1.2",".",".",".",".",".",".",".",".","."
"","365
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","18","3.306","16.7","50.0","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","33","3.621","54.5","27.3","12.1",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
201","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","10","",".",".",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".","."
"Envir Strategy & Sustainabilty","600
001","22","3.762","68.2","18.2","4.5",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"","700
030","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
031","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
032","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","34","3.824","67.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","45","3.911","82.2","17.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Analysis for Managers","704
030","34","3.868","82.4","8.8","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Statistical Methods I","706
001","39","3.436","23.1","46.2","25.6","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","23","3.870","73.9","26.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","23","3.717","56.5","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics & Social Responsblty","Course Total","46","3.793","65.2","30.4","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Values,&Sustainability","711
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 49 of 399"
