"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"911","002","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Musicology","Course Total","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Seminar in Ethnomusicology","001","","11","3.750","45.5","45.5",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"927
Seminar in Composition","001","","11","3.850","63.6","27.3",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Work","Course Total","","40","",".",".",".",".",".",".",".","90.0","5.0",".",".",".",".",".","5.0","."
