"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"","320
002","","22","3.341","50.0","4.5","22.7","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","320
004","","25","3.420","36.0","24.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","","71","3.401","42.3","15.5","28.2","8.5","5.6",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","20","3.275","35.0","30.0","15.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","322
002","","26","3.577","57.7","23.1","11.5",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","322
003","","27","3.352","48.1","22.2","7.4","11.1","7.4",".","3.7",".",".",".",".",".",".",".",".","."
"Survey of Early Hispanic Lit","Course Total","","73","3.411","47.9","24.7","11.0","5.5","6.8","2.7","1.4",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
001","","16","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Spanish Lit","324
001","","23","3.152","34.8","8.7","39.1","4.3","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"Advanced Conversation","325
001","","22","3.477","45.5","18.2","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","326
001","","31","3.484","51.6","12.9","29.0",".","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"","002
326","","24","3.458","58.3","12.5","16.7","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"","003
326","","21","3.548","33.3","47.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","","76","3.493","48.7","22.4","21.1","2.6","2.6","1.3","1.3",".",".",".",".",".",".",".",".","."
"","327
002","","22","3.476","59.1","18.2",".",".","13.6","4.5",".","4.5",".",".",".",".",".",".",".","."
"","327
003","","19","3.395","36.8","26.3","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","Course Total","","41","3.438","48.8","22.0","9.8","4.9","9.8","2.4",".","2.4",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","","26","3.706","53.8","34.6","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
002","","13","3.012","46.2","7.7",".","15.4","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
001","","24","3.687","58.3","29.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Lit","456
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","460
001","","20","3.149","25.0","15.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","460
002","","20","3.852","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literatura Hispanoamericana","Course Total","","40","3.492","50.0","17.5","17.5","12.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Spanish Amer Poetry & Essay","464
001","","20","3.567","45.0","25.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lit of Hispanics in U.S.","467
001","","27","3.442","48.1","22.2","18.5","7.4",".",".","3.7",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","468
001","","25","3.606","48.0","28.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Hispanic Lit/Cultr/Ling","470
001","","10","3.000","30.0","10.0","40.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Survey of Medieval Lit","503
001","","22","3.455","36.4","22.7","36.4","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","505
001","","25","3.720","56.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","545
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"20 C Spanish-Am Short Story","605
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poesia Espanola-Siglo XX","622
001","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Senior Honors Thesis","681
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.950","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Spanish American Lit","801
001","","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
