"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"","723
019","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
020","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
723","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
022","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","273","3.571","34.4","45.4","20.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
726","105","3.495","41.9","16.2","41.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","726
002","96","3.589","44.8","29.2","25.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","726
003","25","3.720","52.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
005","23","3.587","47.8","21.7","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
006","23","3.565","43.5","26.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Substan Criminal Law","Course Total","272","3.563","44.5","24.3","30.5","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","001
730","18","3.594","38.9","27.8","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","5.6"
"Constitutional Law I","731
001","90","3.507","34.4","18.9","20.0","2.2","1.1","1.1",".","22.2",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732
001","36","3.537","36.1","11.1","25.0","2.8",".",".",".","25.0",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","138","3.451","39.1","14.5","19.6","4.3","2.2","1.4","0.7","18.1",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","23","3.452","30.4","34.8","17.4","4.3","4.3",".",".","8.7",".",".",".",".",".",".",".","."
"Religion and the Constitution","739
001","31","3.484","38.7","19.4","41.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","27","3.538","37.0","33.3","22.2","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"","002
740","36","3.567","33.3","27.8","22.2",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","63","3.554","34.9","30.2","22.2","1.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"","742
001","106","3.529","36.8","18.9","20.8",".","3.8",".",".","18.9",".",".",".",".",".",".",".","0.9"
"","742
002","58","3.500","34.5","17.2","17.2","3.4","3.4",".",".","24.1",".",".",".",".",".",".",".","."
"Taxation I","Course Total","164","3.521","36.0","18.3","19.5","1.2","3.7",".",".","20.7",".",".",".",".",".",".",".","0.6"
"","743
001","19","3.589","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
002","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","35","3.678","51.4","31.4","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","21","3.563","28.6","28.6","19.0",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","47","3.513","34.0","19.1","27.7","2.1",".",".",".","17.0",".",".",".",".",".",".",".","."
"Legislation","746
001","37","3.681","48.6","35.1","13.5",".",".",".",".",".",".",".",".",".",".",".",".","2.7"
"Antitrust","748
001","32","3.833","43.8","6.3","6.3",".",".",".",".","43.8",".",".",".",".",".",".",".","."
"Copyright Law","752
001","35","3.529","54.3","11.4","20.0","5.7","5.7",".",".","2.9",".",".",".",".",".",".",".","."
"Role of Police in Free Soc","760
001","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Equal Employment Law","765
002","29","3.852","72.4","13.8","6.9",".",".",".",".",".",".",".",".",".",".",".","3.4","3.4"
"Select Topics-Estate Planning","771
001","16","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and the Elderly","773
001","16","3.656","62.5","6.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","104","3.433","45.2","8.7","21.2","5.8","1.9","1.0","1.9","14.4",".",".",".",".",".",".",".","."
"","002
801","93","3.278","28.0","11.8","38.7","1.1","1.1","2.2","2.2","15.1",".",".",".",".",".",".",".","."
"Evidence","Course Total","197","3.360","37.1","10.2","29.4","3.6","1.5","1.5","2.0","14.7",".",".",".",".",".",".",".","."
"","802
001","62","3.597","50.0","19.4","30.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","802
002","33","3.530","57.6","6.1","27.3","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","95","3.574","52.6","14.7","29.5","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"","808
001","11","3.833","54.5","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".","9.1","."
"","808
002","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 326 of 399",""
