"","990
026","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
035","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
038","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","13","",".",".",".",".",".",".",".","92.3","7.7",".",".","",".",".",".",".","."
"L SC COM
120","Dept. Total","486","3.651","58.8","22.8","9.7","1.4","2.3","0.8","0.6","2.5","0.2","0.2",".","",".","0.4",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","94","3.577","50.0","29.8","12.8","3.2","3.2","1.1",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","16","3.804","68.8","25.0","6.3",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Junior","","69","3.561","49.3","29.0","15.9","1.4","4.3",".",".",".",".",".",".","",".",".",".",".","."
"Senior","","228","3.647","64.9","18.4","10.1","1.3","2.2","1.3","1.3",".",".",".",".","",".",".",".","0.4","."
"Undergraduates","","407","3.622","59.0","23.1","11.5","1.7","2.7","1.0","0.7",".",".",".",".","",".",".",".","0.2","."
"Special","","2","3.714","50.0","50.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Graduate","","77","3.855","58.4","20.8",".",".",".",".",".","15.6","1.3","1.3",".","",".","2.6",".",".","."
"","Dept. Total","486","3.651","58.8","22.8","9.7","1.4","2.3","0.8","0.6","2.5","0.2","0.2",".","",".","0.4",".","0.2","."
