"","990
030","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
040","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
050","1","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research","Course Total","95","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"ONCOLOGY
700","Dept. Total","214","3.522","25.2","3.7","15.9","1.4","0.5","0.5","",".","52.8",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","12","3.400","50.0","16.7","16.7","8.3",".","8.3","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","35","3.577","57.1","8.6","28.6","2.9",".",".","",".","2.9",".",".",".","",".","",".",".",".","."
"Undergraduates","","47","3.531","55.3","10.6","25.5","4.3",".","2.1","",".","2.1",".",".",".","",".","",".",".",".","."
"Special","","5","3.667","40.0",".","20.0",".",".",".","",".","40.0",".",".",".","",".","",".",".",".","."
"Graduate","","160","3.507","16.3","1.9","13.1","0.6","0.6",".","",".","67.5",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","2","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"","Dept. Total","214","3.522","25.2","3.7","15.9","1.4","0.5","0.5","",".","52.8",".",".",".","",".","",".",".",".","."
