"Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"100","001","","19","2.974","15.8","15.8","42.1","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"100","002","","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","003","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","004","","17","3.353","17.6","52.9","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"100","005","","18","3.583","38.9","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","006","","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","007","","19","3.500","15.8","73.7","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","008","","18","3.694","61.1","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"100","011","","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","012","","19","3.289","36.8","36.8","10.5",".","5.3","10.5",".",".",".",".",".",".",".",".",".","."
"100","013","","18","3.639","61.1","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","014","","19","3.711","57.9","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","015","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","016","","15","3.067","33.3","13.3","20.0","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"100","017","","19","3.500","57.9","10.5","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","018","","19","3.500","36.8","36.8","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","019","","18","3.306","22.2","33.3","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"100","020","","19","3.342","36.8","15.8","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"100","021","","19","3.553","31.6","57.9",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","022","","19","3.158","10.5","36.8","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","023","","19","3.316","21.1","36.8","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","024","","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","025","","19","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","026","","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","027","","18","3.222","5.6","38.9","50.0","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"100","028","","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","029","","19","3.132","15.8","21.1","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","030","","19","3.395","21.1","52.6","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","031","","19","3.395","36.8","15.8","42.1",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"100","032","","19","3.658","36.8","57.9","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","033","","19","3.289","15.8","42.1","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"100","034","","19","3.605","52.6","26.3","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","035","","19","3.526","42.1","31.6","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"100","036","","19","3.289","26.3","36.8","31.6",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","037","","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","038","","19","3.026",".","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"100","039","","14","3.321","35.7","14.3","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"100","040","","18","3.206","44.4","11.1","22.2","5.6",".","5.6","5.6",".",".",".",".",".",".",".","5.6","."
"100","041","","18","3.083","11.1","5.6","72.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"100","042","","16","3.375","31.3","50.0","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"100","043","","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","044","","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"100","045","","16","3.281","31.3","12.5","43.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"100","046","","18","3.250","22.2","22.2","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"100","047","","19","3.026","5.3","31.6","52.6","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"100","048","","19","3.395","52.6","15.8","10.5","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","","Page 198 of 399",""
