"","990
028","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
033","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","46","",".",".",".",".",".",".",".","89.1","2.2",".",".",".",".",".","8.7","."
"HORT
476","Dept. Total","289","3.143","29.1","17.6","18.7","5.5","6.6","2.4","2.4","15.6","0.3",".",".",".","0.3",".","1.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.000","19.0","23.8","38.1","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Sophomore","","29","3.012","34.5","24.1","17.2","3.4","3.4","3.4","10.3",".",".",".",".",".","3.4",".",".","."
"Junior","","53","3.114","28.3","26.4","18.9","11.3","7.5","5.7","1.9",".",".",".",".",".",".",".",".","."
"Senior","","92","3.119","39.1","13.0","22.8","8.7","10.9","3.3","2.2",".",".",".",".",".",".",".",".","."
"Undergraduates","","195","3.088","33.3","19.5","22.6","8.2","8.7","3.6","3.6",".",".",".",".",".","0.5",".",".","."
"Special","","6","2.750",".","16.7",".",".","16.7",".",".","66.7",".",".",".",".",".",".",".","."
"Graduate","","88","3.485","21.6","13.6","11.4",".","1.1",".",".","46.6","1.1",".",".",".",".",".","4.5","."
"","Dept. Total","289","3.143","29.1","17.6","18.7","5.5","6.6","2.4","2.4","15.6","0.3",".",".",".","0.3",".","1.4","."
