"COMMUNICATION ARTS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","",""
"History of Broadcasting","450","001","","32","3.375","28.1","25.0","40.6","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","","18","3.639","66.7","5.6","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","","23","3.174","17.4","26.1","34.8","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","","16","3.125","31.3","12.5","43.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Global Media Cultures","458","001","","44","2.932","4.5","22.7","45.5","22.7",".","2.3","2.3",".",".",".",".",".",".",".",".","."
"Rhetoric and Technology","472","001","","22","2.886","18.2","18.2","13.6","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"Media, Pub Deliberatn&Pub Iss","525","001","","15","3.400","46.7","20.0","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Am Film Inds-Studio Sys Era","556","001","","46","2.978","21.7","19.6","17.4","23.9","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"Interpersonal Communication","572","001","","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","","60","3.675","56.7","25.0","15.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Rhetorical Criticism","576","001","","11","3.778","63.6",".","18.2",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Topics-Rhetoric&Pub Address","610","001","","16","3.923","68.8","12.5",".",".",".",".",".","12.5",".",".",".",".","6.3",".",".","."
"","613","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","002","","20","3.375","35.0","45.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","613","003","","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","004","","13","3.231","7.7","61.5","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","","65","3.577","52.3","29.2","13.8",".","1.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"","614","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","","Course Total","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","615","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Hlth Communication-Info Age","617","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Video Productn&Directn","651","001","","21","3.143","9.5","38.1","28.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"German Film","655","001","","10","3.350","40.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","656","001","","14","3.214","21.4","14.3","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","656","002","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Motion Picture Productn","","Course Total","","26","3.423","26.9","38.5","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","658","002","","15","3.367","20.0","33.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Media and Cultural Theory II","663","001","","16","3.563","62.5","12.5","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","681","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
