"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","189","3.164","24.9","22.8","21.2","17.5","9.5","1.1",".","2.6",".",".",".",".",".",".","0.5","."
"Real Estate Law","312
001","60","3.392","33.3","26.7","28.3","8.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Finance","410
001","54","3.519","55.6","11.1","22.2","1.9","5.6","1.9",".","1.9",".",".",".",".",".",".",".","."
"Valuation of Real Estate","415
001","68","3.537","39.7","26.5","32.4",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Urban & Regional Economics","420
001","100","3.065","18.0","22.0","36.0","13.0","6.0","5.0",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","34","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","27","3.400","14.8","59.3","14.8",".",".","3.7",".","7.4",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","001
715","9","3.500","33.3","22.2","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","16","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
765","38","3.500","28.9","44.7","23.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","47","3.544","29.8","48.9","19.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
116","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
151","2","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","619","3.332","31.0","27.9","23.9","8.6","4.7","1.5",".","2.1",".",".",".",".","0.2",".","0.2","."
