"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"318
Principles-Wildlife Ecology","001","","221","2.591","9.5","14.0","25.8","19.9","15.8","10.9","3.2","0.9",".",".",".",".",".",".",".","."
"319
Ecol Prin Appl to Wildlife","001","","51","3.167","21.6","17.6","41.2","15.7","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","54","3.462","38.9","27.8","22.2","7.4",".","1.9",".","1.9",".",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","39","2.833","10.3","17.9","28.2","25.6","12.8","5.1",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","49","3.265","44.9",".","40.8",".","12.2",".","2.0",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","35","3.457","48.6","17.1","17.1","11.4","5.7",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","17","3.406","35.3","5.9","52.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799
Pract-Wildlife Ecol Teachng","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"840
Metapopulatns&Other Adv Topics","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
