"NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research and Thesis","47","",".",".",".",".",".",".","",".","95.7",".",".",".","4.3","",".",".",".","."
"NEUROSCI
Dept. Total
682","205","3.609","35.6","8.3","6.3","1.0","0.5","1.0","",".","40.5",".","5.9",".","1.0","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"Junior","17","3.600","76.5","11.8","5.9",".",".","5.9","",".",".",".",".",".",".","",".",".",".","."
"Senior","64","3.550","62.5","14.1","14.1","3.1","1.6","1.6","",".","3.1",".",".",".",".","",".",".",".","."
"Undergraduates","81","3.559","65.4","13.6","12.3","2.5","1.2","2.5","",".","2.5",".",".",".",".","",".",".",".","."
"Special","4","3.688","25.0","50.0",".",".",".",".","",".","25.0",".",".",".",".","",".",".",".","."
"Graduate","110","3.716","16.4","3.6","2.7",".",".",".","",".","66.4",".","10.0",".","0.9","",".",".",".","."
"Prof Yr 3","10","4.000","10.0",".",".",".",".",".","",".","70.0",".","10.0",".","10.0","",".",".",".","."
"Professionals","10","4.000","10.0",".",".",".",".",".","",".","70.0",".","10.0",".","10.0","",".",".",".","."
"Dept. Total","205","3.609","35.6","8.3","6.3","1.0","0.5","1.0","",".","40.5",".","5.9",".","1.0","",".",".",".","."
