"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","",""
"694
001
Mgmt-Civil Infrastruct Sys","1","***","","","","","","","","","",".",".",".",".",".",".","."
"734
001
Regional Econ Prob Analysis","2","***","","","","","","","","","",".",".",".",".",".",".","."
"765
001
Issues in Educ Policy Analysis","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
014","58","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Independent Reading","64","4.000","9.4",".",".",".",".",".",".","90.6",".",".",".",".",".",".",".","."
"809
001
Energy Analys & Policy Smr","1","***","","","","","","","","","",".",".",".",".",".",".","."
"818
001","39","3.474","35.9","25.6","30.8","5.1",".",".",".",".",".",".",".",".",".","2.6",".","."
"002
818","18","3.028","22.2","5.6","44.4","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Quant Tools-Pub Pol Analysis","57","3.330","31.6","19.3","35.1","7.0","5.3",".",".",".",".",".",".",".",".","1.8",".","."
"827
001
Administrative Internship","2","***","","","","","","","","","",".",".",".",".",".",".","."
"830
001
Financng Elem&Secondry Educ","1","***","","","","","","","","","",".",".",".",".",".",".","."
"850
001
International Governance","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
001
Trade, Competition&Governance","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
001
Policy-Making Process","33","3.545","24.2","60.6","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
001
Public Personnel Adm","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
001","38","3.270","23.7","21.1","39.5","10.5","2.6",".",".",".",".",".",".",".",".","2.6",".","."
"880
002","20","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Microecon Policy Analysis","58","3.246","22.4","24.1","36.2","10.3","5.2",".",".",".",".",".",".",".",".","1.7",".","."
"881
001
Benefit-Cost Analysis","27","3.577","40.7","37.0","11.1","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"885
001
Advanced Public Management","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
001
State & Local Govt Finance","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"974
001
Topics in Public Affairs","12","3.500","25.0","41.7","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"PUB AFFR
Dept. Total
826","335","3.505","31.3","26.6","17.6","3.6","1.8",".",".","18.5",".",".",".",".",".","0.6",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","",""
"Senior","23","3.500","26.1","21.7","17.4","4.3",".",".",".","30.4",".",".",".",".",".",".",".","."
"Undergraduates","23","3.500","26.1","21.7","17.4","4.3",".",".",".","30.4",".",".",".",".",".",".",".","."
"Special","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","283","3.504","30.4","27.9","17.3","3.9","1.4",".",".","18.4",".",".",".",".",".","0.7",".","."
"Prof Yr 2","12","3.222","25.0","16.7","16.7",".","16.7",".",".","25.0",".",".",".",".",".",".",".","."
"Prof Yr 3","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","22","3.500","40.9","22.7","13.6",".","9.1",".",".","13.6",".",".",".",".",".",".",".","."
"Dept. Total","335","3.505","31.3","26.6","17.6","3.6","1.8",".",".","18.5",".",".",".",".",".","0.6",".","."
