"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","79","3.057","19.0","26.6","20.3","17.7","15.2","1.3",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","38","3.145","26.3","21.1","28.9","13.2","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"","321","001","","18","3.306","27.8","27.8","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","15","2.800","13.3","20.0","33.3","6.7","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"","321","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","38","3.132","23.7","23.7","28.9","13.2","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","62","3.369","30.6","33.9","21.0","9.7","1.6",".","1.6","1.6",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","64","3.289","26.6","25.0","32.8","10.9","4.7",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","389","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","34","3.515","41.2","35.3","11.8","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","19","3.842","84.2",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","23","3.543","34.8","39.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Capital Investment","513","001","","22","3.614","68.2","9.1","9.1","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","51","3.660","45.1","43.1","7.8",".","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549","001","","25","3.660","44.0","44.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","53","3.811","67.9","28.3","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","24","3.750","58.3","20.8","12.5",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Queuing Thry & Stochas Model","633","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Mgt Relations-Engrs","650","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociotechnical Systems","652","001","","28","3.357","28.6","17.9","50.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671","001","","32","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","030","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","14","3.700","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","12","3.893","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 125 of 399",""
