"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","21","3.429","28.6","61.9",".","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","002
160","19","3.500","63.2","15.8","10.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","003
160","24","3.083","33.3","12.5","16.7","29.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","64","3.320","40.6","29.7","9.4","12.5","3.1",".","4.7",".",".",".",".",".",".",".",".","."
"","170
001","17","3.059","29.4","29.4","11.8","5.9","17.6",".","5.9",".",".",".",".",".",".",".",".","."
"","170
002","18","3.306","27.8","38.9","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"","170
003","20","3.375","45.0","30.0","10.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","55","3.255","34.5","32.7","9.1","10.9","9.1",".","3.6",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","139","3.230","28.1","25.2","23.0","15.1","7.9",".","0.7",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","232
001","84","3.000","15.5","28.6","22.6","19.0","9.5","3.6","1.2",".",".",".",".",".",".",".",".","."
"","240
001","57","2.851","24.6","7.0","24.6","12.3","28.1","1.8","1.8",".",".",".",".",".",".",".",".","."
"","240
002","51","2.990","27.5","13.7","23.5","7.8","23.5","3.9",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","108","2.917","25.9","10.2","24.1","10.2","25.9","2.8","0.9",".",".",".",".",".",".",".",".","."
"","291
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","14","3.656","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","19","3.761","52.6","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","050
299","23","3.662","52.2","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","33","2.818","21.2","6.1","21.2","24.2","24.2","3.0",".",".",".",".",".",".",".",".",".","."
"","002
306","43","2.721","9.3","11.6","32.6","25.6","11.6","9.3",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","76","2.763","14.5","9.2","27.6","25.0","17.1","6.6",".",".",".",".",".",".",".",".",".","."
"","307
001","10","3.350","30.0","10.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","17","3.441","29.4","41.2","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","6","3.083","16.7","16.7","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
005","6","3.417",".","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","15","3.367","46.7","13.3","20.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","307
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","12","3.000","41.7","8.3","16.7","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","88","3.364","36.4","25.0","26.1","4.5","6.8",".","1.1",".",".",".",".",".",".",".",".","."
"","313
001","42","3.179","19.0","28.6","33.3","7.1","11.9",".",".",".",".",".",".",".",".",".",".","."
"","002
313","45","3.144","24.4","26.7","28.9","6.7","8.9","2.2","2.2",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","87","3.161","21.8","27.6","31.0","6.9","10.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"","314
001","46","3.217","6.5","47.8","28.3","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","314
002","34","3.059","17.6","32.4","23.5","14.7","5.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","80","3.150","11.3","41.3","26.3","16.3","2.5","1.3","1.3",".",".",".",".",".",".",".",".","."
"","001
340","46","2.413","13.0","15.2","17.4","15.2","10.9","23.9","4.3",".",".",".",".",".",".",".",".","."
"","340
002","34","2.956","17.6","17.6","29.4","20.6","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","80","2.644","15.0","16.3","22.5","17.5","11.3","13.8","3.8",".",".",".",".",".",".",".",".","."
"","001
342","33","2.563","18.2","6.1","15.2","6.1","42.4","9.1",".",".",".",".",".",".",".",".","3.0","."
"","002
342","49","2.969","8.2","20.4","38.8","26.5","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 129 of 399",""
