"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","19","2.969",".","31.6","26.3","15.8","10.5",".",".","10.5",".",".",".",".","5.3",".",".","."
"","199","007","38","3.988","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","020","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","56","3.992","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Black Women's Studies","221","001","23","2.786","8.7","21.7","21.7","17.4","17.4",".","4.3","8.7",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","158","3.688","58.9","26.6","8.2","1.3","1.3","0.6","0.6","1.3",".",".",".",".",".","1.3",".","."
"Intro to Afro-Am History","231","001","100","2.969","20.0","23.0","20.0","17.0","8.0","9.0",".","3.0",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","47","3.381","31.9","29.8","17.0","4.3","4.3",".","2.1","10.6",".",".",".",".",".",".",".","."
"Black Autobiography","265","001","66","3.082","12.1","18.2","39.4","18.2","4.5",".",".","7.6",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","87","3.135","23.0","32.2","24.1","8.0","2.3","4.6","3.4","2.3",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","33","2.887","12.1","12.1","33.3","15.2","21.2",".",".","6.1",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","58","3.339","39.7","17.2","25.9","3.4","8.6",".","1.7","3.4",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","53","3.592","24.5","60.4","7.5",".",".",".",".","7.5",".",".",".",".",".",".",".","."
"African-Am Mus-Hist Perspectv","316","001","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Afr/Afroam Hist Rel-1700 on","330","001","10","3.611","20.0","70.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Contemp Afrcn&Caribbn Drama","413","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Feminisms","423","001","9","3.389","44.4","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","41","3.388","39.0","9.8","36.6","12.2",".",".",".","2.4",".",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","16","3.333","6.3","50.0","37.5",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"African American Families","521","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","12","2.727","41.7","8.3","8.3","8.3",".","8.3","16.7",".",".",".",".",".","8.3",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","18","3.417","44.4","33.3","5.6","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","14","2.885","50.0","7.1","7.1",".","7.1","7.1","14.3",".",".",".",".",".","7.1",".",".","."
"Topics in Afro-Am Society","673","001","20","2.658",".","25.0","25.0","20.0","20.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674","001","11","3.045","18.2","36.4","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","10","3.348","30.0",".","50.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","16","3.531","50.0",".","37.5","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"","790","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
