"Smr-Portuguese Literature","771
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","990
022","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
032","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","226","3.238","43.8","15.0","16.8","7.1","8.8","2.2","3.1","2.2","",".",".","",".","",".","",".","0.9",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.256","35.0","20.0","20.0","15.0","10.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","48","2.890","31.3","8.3","22.9","12.5","14.6","6.3","4.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","","61","3.203","44.3","13.1","18.0","4.9","11.5","3.3","3.3",".","",".",".","",".","",".","",".","1.6",".","."
"Senior","","65","3.327","44.6","21.5","16.9","4.6","6.2",".","4.6",".","",".",".","",".","",".","",".","1.5",".","."
"Undergraduates","","194","3.166","40.2","15.5","19.1","7.7","10.3","2.6","3.6",".","",".",".","",".","",".","",".","1.0",".","."
"Special","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","27","3.824","63.0","11.1","3.7","3.7",".",".",".","18.5","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","3.714","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","3","3.818","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","226","3.238","43.8","15.0","16.8","7.1","8.8","2.2","3.1","2.2","",".",".","",".","",".","",".","0.9",".","."
