"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","","421","3.398","34.7","31.6","21.6","7.4","3.1","0.2","1.2",".",".",".",".",".","0.2",".",".","."
"Mass Communication Practices","202
001","","103","3.262","15.5","27.2","52.4","3.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"","335
001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
335","","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
003","","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","","46","3.652","41.3","47.8","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
001","","39","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","","32","3.766","62.5","28.1","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","","71","3.725","57.7","29.6","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","001
401","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science & Envir Journalism","415
001","","16","3.438","31.3","37.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Magazines&Magazine Editing","417
001","","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronc News-Web & Broadcast","419
001","","16","3.656","37.5","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","445
001","","29","3.690","62.1","34.5",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"Strategic Communicatn Campaign","449
001","","30","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
007","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
075","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
559","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","","32","3.866","78.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
001","","118","2.936","14.4","21.2","29.7","20.3","8.5","5.1","0.8",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","001
560","","83","3.048","13.3","21.7","44.6","7.2","10.8","2.4",".",".",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","","113","3.333","23.0","30.1","36.3","7.1","1.8",".",".","0.9",".",".",".",".",".",".","0.9","."
"","617
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","617
002","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","Course Total","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communication Rsch Methods","001
658","","38","3.711","57.9","28.9","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","","24","3.792","62.5","33.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
002","","20","3.200","15.0","35.0","30.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","Course Total","","44","3.523","40.9","34.1","15.9","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"","676
006","","38","3.735","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
676","","24","3.500","33.3","29.2","33.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Topics-Mass Communication","Course Total","","62","3.647","45.2","37.1","16.1",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Senior Honors Thesis","681
038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
005","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697
038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 236 of 399",""
