"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","105
001","13","3.375","53.8","15.4","7.7","7.7",".",".","7.7","7.7",".",".",".",".",".",".",".","."
"","105
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","14","3.464","57.1","14.3","7.1","7.1",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","169","3.658","61.5","23.1","8.3","2.4","3.0",".","1.2","0.6",".",".",".",".",".",".",".","."
"","400
002","11","3.489","54.5",".","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","10","3.844","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","12","3.960","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","16","3.882","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
400","13","3.919","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","97","3.872","81.4","12.4","5.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","001
440","23","3.783","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","26","3.462","34.6","23.1","42.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","27","3.870","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","100","3.735","62.0","23.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","458
001","92","3.745","63.0","25.0","10.9",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Violence","523
001","57","3.063","14.0","31.6","33.3","5.3","7.0","7.0",".",".",".",".",".",".",".","1.8",".","."
"Homelessness: Service Learning","001
578","26","3.712","76.9","11.5","7.7",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","579
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","579
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","605
001","50","3.920","90.0","6.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","91","3.885","92.3","3.3","1.1",".","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"","644
001","40","3.161","32.5","30.0","15.0","10.0","2.5",".","7.5","2.5",".",".",".",".",".",".",".","."
"","644
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","44","3.136","31.8","27.3","13.6","11.4","4.5",".","6.8","4.5",".",".",".",".",".",".",".","."
"American Indian Affairs","001
658","14","3.780","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","11","3.613","90.9",".",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","679
001","23","3.308","56.5","21.7","8.7","4.3",".",".","8.7",".",".",".",".",".",".",".",".","."
"","699
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","58","3.784","63.8","29.3","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
