"","990
015","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
040","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
054","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","83.3","16.7",".",".","",".","",".",".",".","."
"E M A
346","Dept. Total","766","2.942","20.6","15.3","30.7","11.5","13.8","2.9","1.6","3.5","0.1",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","2.594",".","25.0","37.5","6.3","18.8","6.3","6.3",".",".",".",".","",".","",".",".",".","."
"Sophomore","","235","2.828","17.0","11.5","36.6","11.1","17.0","3.8","3.0",".",".",".",".","",".","",".",".",".","."
"Junior","","234","2.960","21.8","16.2","30.8","14.5","15.0","1.3","0.4",".",".",".",".","",".","",".",".",".","."
"Senior","","191","2.968","23.6","16.2","27.7","13.6","12.6","4.7","1.0","0.5",".",".",".","",".","",".",".",".","."
"Undergraduates","","676","2.904","20.1","14.8","32.1","12.9","15.1","3.3","1.6","0.1",".",".",".","",".","",".",".",".","."
"Special","","12","2.958",".","41.7","50.0",".",".",".","8.3",".",".",".",".","",".","",".",".",".","."
"Graduate","","78","3.431","28.2","15.4","15.4","1.3","5.1",".",".","33.3","1.3",".",".","",".","",".",".",".","."
"","Dept. Total","766","2.942","20.6","15.3","30.7","11.5","13.8","2.9","1.6","3.5","0.1",".",".","",".","",".",".",".","."
