"RURAL SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","",""
"Reading and Research","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"RUR SOC
864","Dept. Total","163","3.539","38.0","27.6","13.5","3.7","1.2","",".","0.6","12.9","",".",".","",".","",".","0.6","1.2","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.667","33.3","66.7",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","29","3.484","44.8","27.6","13.8","13.8",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","26","3.425","38.5","42.3","7.7","7.7",".","",".","3.8",".","",".",".","",".","",".",".",".",".","."
"Senior","","54","3.423","25.9","33.3","27.8",".","3.7","",".",".","5.6","",".",".","",".","",".",".","3.7",".","."
"Undergraduates","","112","3.447","33.9","34.8","18.8","5.4","1.8","",".","0.9","2.7","",".",".","",".","",".",".","1.8",".","."
"Special","","4","4.000","75.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","25.0","."
"Graduate","","46","3.854","43.5","13.0","2.2",".",".","",".",".","39.1","",".",".","",".","",".","2.2",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","163","3.539","38.0","27.6","13.5","3.7","1.2","",".","0.6","12.9","",".",".","",".","",".","0.6","1.2","0.6","."
