"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","34","3.103","26.5","11.8","38.2","8.8","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","30","3.167","43.3","16.7","16.7","10.0","3.3","3.3","6.7",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","26","3.240","30.8","15.4","30.8","7.7","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","17","3.353","35.3","23.5","29.4",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"489","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"525
Introduction to Plasmas","001","","10","3.000",".","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Radiation Damage in Metals","001","","20","3.100","20.0","5.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","23","3.435","26.1","34.8","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Adv Nuclear Power Engr","001","","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"566
Cryogenics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"602
Special Topics-Reactor Engr","001","","29","3.310","34.5","24.1","17.2","17.2","6.9",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","6","3.808","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"922
Seminar in Plasma Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
