"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","78","3.929","92.3","5.1",".","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Humanities","102
001","19","3.579","31.6","52.6","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Natural Sci","104
001","18","3.306","33.3","27.8","33.3",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","110
001","18","3.333","33.3","22.2","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","110
002","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Humanities&Soc Sci","Course Total","40","3.600","55.0","20.0","17.5","5.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"","001
118","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Soc Sci, Ethnic St","Course Total","37","3.703","54.1","32.4","13.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing:Med&Society","152
001","33","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","250
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","11","3.640","81.8","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","250
003","13","3.438","53.8","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","250
004","14","3.924","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
005","14","3.919","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"","006
250","14","3.969","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","15","3.736","60.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","008
250","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","009
250","15","3.972","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","15","3.935","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","134","3.850","81.3","14.9",".","0.7",".",".","1.5",".",".",".",".",".",".","0.7","0.7","."
"Smr-Writng Across Curriculm","316
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"L&S Junior/Senior Seminar","400
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Grad Stdts in Teaching","701
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"INTER-LS
502","Dept. Total","364","3.766","65.1","16.2","6.3","1.1","0.5",".","0.8",".",".","9.1",".",".","0.3","0.3","0.3","."
