"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","","","","",""
"CAVE","College Total","","86","3.796","47.7","11.6","2.3","1.2","",".","1.2","",".","27.9","1.2",".",".","3.5","1.2","1.2","1.2","."
"Summary by College/School","","#","","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"CAVE","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","4.000","100.0",".",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","","6","3.750","50.0","50.0",".",".","",".",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","","13","3.462","53.8","23.1","7.7","7.7","",".","7.7","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","22","3.614","59.1","27.3","4.5","4.5","",".","4.5","",".",".",".",".",".",".",".",".",".","."
"Graduate","","","64","3.929","43.8","6.3","1.6",".","",".",".","",".","37.5","1.6",".",".","4.7","1.6","1.6","1.6","."
"","College Total","","86","3.796","47.7","11.6","2.3","1.2","",".","1.2","",".","27.9","1.2",".",".","3.5","1.2","1.2","1.2","."
