"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","20","3.700","75.0","20.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
001","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","19","3.684","47.4","47.4",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","19","3.553","36.8","47.4","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","19","3.263","42.1","31.6","15.8",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"","155
005","18","2.889","11.1","33.3","16.7","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","155
006","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
155","15","3.000","13.3","6.7","46.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","18","3.559","50.0","22.2","11.1","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"","155
010","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","15","3.033","20.0","33.3",".","26.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","155
012","16","3.313","12.5","50.0","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","155
013","13","3.231","23.1","23.1","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","222","3.425","37.8","32.4","15.8","9.0","3.2",".","1.4",".",".",".",".",".","0.5",".",".","."
"Freshman Independent Study","199
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","275
001","18","3.806","77.8","5.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
275","18","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","66","3.803","72.7","15.2","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","305
004","8","3.500","25.0","37.5","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Basic Chinese Conversatn I","Course Total","13","3.625","46.2","23.1","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","330
002","11","3.150","9.1","54.5","9.1","9.1",".","9.1",".",".",".",".",".",".","9.1",".",".","."
"","330
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","13","3.208","7.7","61.5","7.7","7.7",".","7.7",".",".",".",".",".",".","7.7",".",".","."
"","374
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","10","",".",".",".",".",".",".",".",".",".","90.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","001
395","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","20","3.300","30.0","40.0","15.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","397
002","20","3.425","45.0","30.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","397
003","22","3.545","31.8","50.0","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.500","47.6","28.6","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","397
005","25","3.600","56.0","32.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","397
006","19","3.658","47.4","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
008","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","14","3.214","21.4","35.7","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","182","3.533","44.0","36.8","11.5","3.8","1.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Independent Study","399
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
