"Kalevala&Finnish Folk-Lore","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adv Intdis Stdy-Medvl Civ","550
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Studies-Medieval Lit","551
001","","4","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Survey German Lit to 1700","611
001","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDIEVAL
633","Dept. Total","","53","3.335","28.3","30.2","32.1","5.7","",".","1.9","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","6","3.425",".","83.3","16.7",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","15","3.177","33.3","13.3","33.3","13.3","",".",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","31","3.389","32.3","25.8","35.5","3.2","",".","3.2",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","52","3.332","28.8","28.8","32.7","5.8","",".","1.9","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".","",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","53","3.335","28.3","30.2","32.1","5.7","",".","1.9","1.9","",".","",".",".","",".","",".","",".",".",".","."
