"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","113
023","21","2.738","9.5","14.3","42.9","9.5","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"","113
024","17","2.735","17.6","5.9","29.4","23.5","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"","113
025","20","3.075","25.0","15.0","35.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","113
026","22","2.364","9.1","4.5","18.2","31.8","18.2","13.6","4.5",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","456","2.681","17.1","11.8","27.4","16.2","12.5","9.2","5.3",".",".",".",".",".","0.2","0.2",".","."
"","001
114","126","2.813","18.3","19.0","23.0","11.9","15.9","11.1","0.8",".",".",".",".",".",".",".",".","."
"","114
002","155","2.648","9.7","16.8","31.0","13.5","16.8","7.1","5.2",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","Course Total","281","2.722","13.5","17.8","27.4","12.8","16.4","8.9","3.2",".",".",".",".",".",".",".",".","."
"","130
001","21","3.048","14.3","9.5","61.9","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","130
002","24","3.125","16.7","8.3","62.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","130
003","23","3.370","34.8","26.1","26.1","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"","130
004","20","3.125","10.0","35.0","45.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","88","3.170","19.3","19.3","48.9","5.7","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"","131
001","28","3.732","71.4","3.6","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","131
002","27","3.333","44.4","18.5","22.2","3.7","3.7","7.4",".",".",".",".",".",".",".",".",".","."
"","003
131","22","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
131","28","3.536","64.3",".","28.6",".","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","105","3.605","63.8","9.5","21.0","1.0","1.9","2.9",".",".",".",".",".",".",".",".",".","."
"","132
001","19","3.658","68.4","15.8","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","132
002","25","3.880","92.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","003
132","27","3.796","85.2","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","71","3.789","83.1","8.5","2.8",".","4.2",".","1.4",".",".",".",".",".",".",".",".","."
"","141
001","38","2.763","13.2","13.2","34.2","13.2","18.4","5.3","2.6",".",".",".",".",".",".",".",".","."
"","002
141","21","2.667","14.3","28.6","14.3",".","33.3",".","9.5",".",".",".",".",".",".",".",".","."
"","003
141","24","2.958","29.2","4.2","25.0","29.2","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","83","2.795","18.1","14.5","26.5","14.5","19.3","2.4","4.8",".",".",".",".",".",".",".",".","."
"","001
171","123","2.659","15.4","17.9","23.6","16.3","11.4","7.3","8.1",".",".",".",".",".",".",".",".","."
"","171
002","126","2.433","16.7","7.1","26.2","4.8","26.2","8.7","10.3",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig I","Course Total","249","2.544","16.1","12.4","24.9","10.4","18.9","8.0","9.2",".",".",".",".",".",".",".",".","."
"","210
001","179","3.265","42.5","11.7","25.7","8.9","6.1","3.9","1.1",".",".",".",".",".",".",".",".","."
"","002
210","158","2.934","27.2","8.2","29.7","8.9","20.3","3.8","1.9",".",".",".",".",".",".",".",".","."
"","003
210","75","3.108","28.0","16.0","29.3","2.7","21.3","1.3",".",".",".",".",".",".","1.3",".",".","."
"","004
210","77","2.883","31.2","5.2","27.3","5.2","22.1","6.5","2.6",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","489","3.074","33.5","10.2","27.8","7.4","15.5","3.9","1.4",".",".",".",".",".","0.2",".",".","."
"","211
001","146","2.493","13.7","7.5","26.7","12.3","21.2","13.0","4.8","0.7",".",".",".",".",".",".",".","."
"","211
002","140","2.979","33.6","12.9","22.1","7.1","14.3","5.7","4.3",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","286","2.732","23.4","10.1","24.5","9.8","17.8","9.4","4.5","0.3",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","213
001","101","2.911","26.7","15.8","19.8","13.9","14.9","5.0","4.0",".",".",".",".",".",".",".",".","."
"","221
001","149","2.906","21.5","16.8","25.5","15.4","12.8","5.4","2.7",".",".",".",".",".",".",".",".","."
"","221
002","168","2.702","22.6","3.6","26.2","6.0","35.7","2.4","3.6",".",".",".",".",".",".",".",".","."
"","003
221","137","2.682","21.9","4.4","27.0","3.6","35.8","3.6","3.6",".",".",".",".",".",".",".",".","."
"","004
221","145","2.531","17.9","12.4","11.7","15.2","28.3","8.3","6.2",".",".",".",".",".",".",".",".","."
"","221
005","206","2.485","19.4","11.2","18.0","9.7","21.4","9.7","10.2","0.5",".",".",".",".",".",".",".","."
"","221
006","191","2.416","18.8","5.8","22.0","5.8","26.2","12.0","8.9","0.5",".",".",".",".",".",".",".","."
