"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"","990
020","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","57","",".",".",".",".",".",".",".","80.7",".",".",".","19.3","",".",".",".","."
"M M & I
620","Dept. Total","640","3.359","31.6","15.2","24.5","5.6","5.3","0.3","0.3","15.5",".",".",".","1.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","17","2.950","35.3","5.9","23.5","11.8","17.6",".","5.9",".",".",".",".",".","",".",".",".","."
"Junior","","106","3.161","28.3","15.1","30.2","15.1","10.4",".",".","0.9",".",".",".",".","",".",".",".","."
"Senior","","192","3.306","37.5","15.1","31.8","5.7","7.8","1.0","0.5","0.5",".",".",".",".","",".",".",".","."
"Undergraduates","","315","3.236","34.3","14.6","30.8","9.2","9.2","0.6","0.6","0.6",".",".",".",".","",".",".",".","."
"Special","","9","3.068","22.2","11.1","22.2","11.1","22.2",".",".","11.1",".",".",".",".","",".",".",".","."
"Graduate","","158","3.635","22.8","1.9","8.2",".","0.6",".",".","59.5",".",".",".","7.0","",".",".",".","."
"Prof Yr 1","","5","3.200","20.0",".","80.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","145","3.490","37.2","30.3","26.9","4.1","1.4",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","8","3.417","12.5","37.5","25.0",".",".",".",".","25.0",".",".",".",".","",".",".",".","."
"Professionals","","158","3.480","35.4","29.7","28.5","3.8","1.3",".",".","1.3",".",".",".",".","",".",".",".","."
"","Dept. Total","640","3.359","31.6","15.2","24.5","5.6","5.3","0.3","0.3","15.5",".",".",".","1.7","",".",".",".","."
