"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","9","",".",".",".",".",".",".",".","44.4","11.1",".",".","33.3","11.1",".",".","."
"990","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","86","",".",".",".",".",".",".",".","86.0","1.2",".",".","10.5","1.2","1.2",".","."
"999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","3.889","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"ELPA
305","Dept. Total","","407","3.880","62.2","10.3","2.2","0.2",".",".","0.2","19.4","0.2",".",".","2.2","2.0","0.2","0.2","0.5"
