"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"","802
001","","25","1.261","8.0",".","28.0",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","002
802","","32","1.133","3.1",".","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","","57","1.189","5.3",".","29.8",".",".",".",".","7.0",".",".",".",".",".",".",".","."
"Advanced Legal Writing","808
001","","14","1.143","7.1",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815
001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","","50","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","","98","1.348","13.3",".","22.4",".","3.1",".",".","6.1",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","","14","1.182","14.3",".","7.1",".","7.1",".",".","21.4",".",".",".",".",".",".",".","."
"Family Law: Marriage & Divorce","822
001","","14","1.462","7.1",".","35.7",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824
001","","35","0.828","8.6","2.9","8.6",".","2.9",".",".","8.6",".",".",".",".",".",".",".","."
"International Law","827
001","","27","1.407","18.5",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Transactions","828
001","","31","2.100","19.4","6.5","32.3",".","3.2",".",".","3.2",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838
001","","8","0.875","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation II","840
001","","23","1.900","39.1",".",".",".","4.3",".",".","13.0",".",".",".",".",".",".",".","."
"Intro to Environmental Law","848
001","","22","1.975","27.3","4.5","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","849
001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","849
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Trial Advocacy","Course Total","","21","0.600",".",".","4.8",".",".",".",".","76.2",".",".",".",".",".",".",".","."
"","850
001","","28","1.593","17.9",".","25.0",".","3.6",".","3.6","3.6",".",".",".",".",".",".",".","."
"","850
002","","32","1.063","9.4",".","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","850
003","","25","1.000","8.0",".","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","85","1.214","11.8",".","21.2",".","4.7",".","1.2","1.2",".",".",".",".",".",".",".","."
"","852
001","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","002
852","","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","7.7"
"","852
003","","20","",".",".",".",".",".",".",".","85.0",".",".",".",".",".",".",".","15.0"
"","852
004","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","78","",".",".",".",".",".",".",".","93.6",".",".",".",".",".",".",".","6.4"
"","854
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
005","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
854","","18","",".",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","22.2"
"","854
009","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","011
854","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 348 of 435",""
