"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","154","3.457","40.3","35.7","13.0","5.2","1.3","0.6","2.6",".",".",".",".",".","1.3",".",".","."
"Intro Earth System","120","001","105","3.154","28.6","23.8","17.1","14.3","12.4","2.9",".",".",".",".",".",".",".",".","1.0","."
"Intro People-Environment Geog","139","001","57","3.065","26.3","17.5","24.6","12.3","8.8","1.8","3.5","5.3",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","241","3.360","52.7","12.9","15.8","4.1","7.9","5.4","0.8","0.4",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","15","2.967","53.3","6.7",".",".","26.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","18","3.750","66.7","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","7","3.583","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Latin America-Introduction","260","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to the City","305","001","54","3.592","40.7","35.2","7.4","5.6","1.9",".",".","7.4",".",".",".",".",".",".","1.9","."
"Introduction to Geopolitics","318","001","46","3.500","45.7","26.1","17.4","6.5",".",".","2.2","2.2",".",".",".",".",".",".",".","."
"Geomorphology","320","001","13","3.308","23.1","15.4","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","50","3.106","14.0","30.0","30.0","10.0","6.0","4.0",".","6.0",".",".",".",".",".",".",".","."
"Environmental Conservation","339","001","44","2.875","18.2","9.1","38.6","11.4","18.2","2.3","2.3",".",".",".",".",".",".",".",".","."
"World Regions in Global Contxt","340","001","170","3.289","31.2","32.9","15.9","5.3","4.7","1.2","3.5","3.5",".",".",".",".","1.8",".",".","."
"Geography of Wisconsin","342","001","181","3.491","40.3","28.2","13.8","2.8","5.0",".","1.1","8.8",".",".",".",".",".",".",".","."
"Latin America","348","001","23","3.310","30.4","13.0","34.8","8.7","4.3",".",".","4.3",".",".",".",".","4.3",".",".","."
"Geography of Southeast Asia","358","001","18","3.176","22.2","22.2","33.3",".","16.7",".",".",".",".",".",".",".",".",".","5.6","."
"Quantitative Meth-Geog Anal","360","001","31","3.403","38.7","22.6","29.0",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","36","3.306","27.8","22.2","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","61","3.041","24.6","24.6","14.8","19.7","11.5","3.3","1.6",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Geography","475","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Transforming Earth Systems","526","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Governance","534","001","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","21","3.650","57.1","9.5","28.6",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","001","29","3.304","48.3","6.9","27.6","3.4","3.4","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"GIS Applications","578","001","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","15","3.167","26.7","33.3","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Internship","602","010","8","",".",".",".",".",".",".",".",".",".","62.5",".",".",".",".",".","."
"Senior Honors Thesis","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","100","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 233 of 435",""
